id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
784,Do the Right Thing,R,Comedy,35,long,high,8.0,True,False,high,False,True,32.0,2,False,False,21.511773934065932,56.0,0,False,False,0.0
785,"Honey, I Shrunk the Kids",PG,Adventure,35,medium,very-high,6.4,False,False,high,False,False,39.0,0,False,False,0.0,36.0,1,False,False,1.5593218
786,Turner & Hooch,PG,Comedy,35,medium,high,6.2,False,False,high,False,False,44.0,4,False,False,0.8782261513157894,33.0,5,False,False,6.1791127875
787,"Sex, Lies, and Videotape",R,Drama,35,medium,high,7.2,False,False,high,False,True,26.0,0,False,False,0.0,29.0,0,False,False,0.0
788,When Harry Met Sally...,R,Comedy,35,medium,very-high,7.6,True,False,high,False,False,42.0,4,True,False,3.59798516875,41.0,1,False,False,0.330467
789,Major League,R,Comedy,35,medium,high,7.2,False,False,high,False,False,44.0,1,False,False,0.46916274336283187,40.0,2,False,False,3.9264845078125
790,Steel Magnolias,PG,Comedy,35,medium,high,7.3,False,False,high,False,False,62.0,4,False,False,5.402424350702144,55.0,1,True,False,13.552968625
791,Pet Sematary,R,Other,35,medium,high,6.6,False,False,high,False,False,38.0,0,False,False,0.0,30.0,0,False,False,0.0
792,Uncle Buck,PG,Comedy,35,medium,high,7.0,False,False,high,False,False,39.0,6,True,False,12.433279789529914,39.0,1,False,False,1.3287945
793,Ghostbusters II,PG,Action,35,medium,very-high,6.6,False,False,high,False,False,43.0,4,True,False,8.793087902083334,39.0,4,True,False,5.197970728645833
794,Tango & Cash,R,Action,35,medium,high,6.4,False,False,mid,False,False,52.0,1,False,False,0.8537355555555556,43.0,9,True,True,4.766388810809402
795,Born on the Fourth of July,R,Biography,35,long,very-high,7.2,False,False,high,False,False,43.0,3,True,False,8.960428755555554,27.0,6,False,True,7.755205850989321
796,Glory,R,Biography,35,long,very-high,7.8,True,False,mid,False,False,37.0,1,False,False,4.55321294117647,27.0,5,True,False,4.62451843
797,Parenthood,PG-13,Comedy,35,long,mid,7.0,False,False,high,False,False,35.0,4,False,False,4.318240635119047,44.0,5,True,False,1.7994251598787876
798,Lethal Weapon 2,R,Action,35,medium,very-high,7.2,False,False,high,False,False,59.0,5,True,False,3.391949305620485,33.0,7,True,False,3.2993064904379676
799,National Lampoon's Christmas Vacation,PG-13,Comedy,35,medium,very-high,7.6,True,False,mid,False,False,34.0,0,False,False,0.0,46.0,10,True,True,3.144872471284595
800,The 'Burbs,PG,Comedy,35,medium,high,6.9,False,False,mid,False,False,43.0,4,False,False,8.32662353090909,33.0,5,False,False,6.1791127875
801,License to Kill,PG-13,Action,35,long,high,6.6,False,False,high,False,False,57.0,4,False,False,1.8459322714556277,43.0,1,False,False,1.279656475
802,Harlem Nights,R,Comedy,35,medium,mid,6.1,False,False,mid,False,False,28.0,0,False,False,0.0,28.0,5,True,False,9.986764660102562
803,Lock Up,R,Action,35,medium,mid,6.4,False,False,low,False,False,57.0,0,False,False,0.0,43.0,9,True,True,4.766388810809402
804,Warlock,R,Action,35,medium,mid,6.2,False,False,mid,False,True,38.0,3,False,False,13.270655836714974,31.0,0,False,False,0.0
805,"See No Evil, Hear No Evil",R,Comedy,35,medium,high,6.9,False,False,mid,False,False,66.0,1,False,False,3.0860263333333333,49.0,5,False,True,2.127828854300993
806,Casualties of War,R,Action,35,medium,mid,7.1,False,False,low,False,False,49.0,6,True,False,2.1320940552136753,28.0,3,True,False,9.998272963801169
807,The Package,R,Action,35,medium,low,6.4,False,False,low,False,False,43.0,2,False,False,2.7112154714285714,59.0,6,True,False,2.0917369524630542
808,The War of the Roses,R,Comedy,35,medium,high,6.8,False,False,high,False,False,45.0,1,False,False,4.136855142857143,45.0,4,False,False,8.980433649074074
809,The Wizard,PG,Adventure,35,medium,mid,6.1,False,False,mid,False,True,28.0,0,False,False,0.0,13.0,0,False,False,0.0
810,UHF,PG-13,Comedy,35,medium,mid,7.0,False,False,mid,False,True,25.0,0,False,False,0.0,30.0,0,False,False,0.0
811,Look Who's Talking,PG-13,Comedy,35,medium,high,5.9,False,False,high,False,True,35.0,2,False,False,4.462220617647059,35.0,4,True,True,1.4963353448963317
812,Star Trek V: The Final Frontier,PG,Action,35,medium,high,5.5,False,False,mid,False,False,58.0,0,False,False,0.0,58.0,3,True,False,5.310874123795518
813,All Dogs Go to Heaven,G,Animation,35,short,mid,6.8,False,False,mid,False,False,52.0,2,True,False,4.425986197142857,56.0,0,False,False,0.0
814,Cyborg,R,Action,35,short,mid,5.1,False,True,high,False,True,36.0,0,False,False,0.0,29.0,1,False,False,10.732835454545455
815,Always,PG,Drama,35,long,mid,6.4,False,False,mid,False,False,43.0,5,True,False,23.2548897131746,42.0,3,False,False,1.1711927076923077
816,Leviathan,R,Adventure,35,medium,mid,5.8,False,False,low,False,False,48.0,3,False,False,3.019696335151515,42.0,3,True,False,2.019238282051282
817,Best of the Best,PG-13,Action,35,medium,mid,6.4,False,False,low,False,True,39.0,0,False,False,0.0,33.0,1,False,False,0.854525125
818,Dead Calm,R,Horror,35,medium,mid,6.8,False,False,low,False,False,39.0,0,False,False,0.0,22.0,0,False,False,0.0
819,Kickboxer,R,Action,35,medium,high,6.5,False,False,high,False,True,20.0,0,False,False,0.0,29.0,1,False,False,10.732835454545455
820,Black Rain,R,Action,35,long,high,6.6,False,False,high,False,False,52.0,3,True,False,0.9747369448341837,45.0,4,False,False,8.980433649074074
821,Troop Beverly Hills,PG,Adventure,35,medium,low,5.8,False,False,low,False,False,45.0,3,False,False,2.5025558666666665,40.0,0,False,False,0.0
822,Driving Miss Daisy,PG,Drama,35,medium,very-high,7.4,True,False,high,False,True,49.0,2,False,True,0.6887993909090909,52.0,0,False,False,0.0
823,Drugstore Cowboy,R,Crime,35,medium,mid,7.3,False,False,mid,False,True,37.0,0,False,False,0.0,25.0,1,False,False,0.249448
824,A Nightmare on Elm Street 5: The Dream Child,R,Other,35,short,mid,5.1,False,True,high,False,True,31.0,0,False,False,0.0,42.0,2,False,False,6.898711102564103
825,Halloween 5: The Revenge of Michael Myers,R,Horror,35,medium,mid,5.1,False,True,mid,False,True,31.0,0,False,False,0.0,70.0,2,False,False,4.140624366666667
826,DeepStar Six,R,Action,35,medium,mid,5.4,False,True,mid,False,True,48.0,1,False,False,72.28109272727272,36.0,0,False,False,0.0
827,Sea of Love,R,Crime,35,medium,mid,6.8,False,False,high,False,False,61.0,1,False,False,2.561146642857143,49.0,3,True,True,1.4831715356709954
828,Skin Deep,R,Comedy,35,medium,low,6.1,False,False,mid,False,True,67.0,7,False,True,1.1333581471902965,41.0,0,False,False,0.0
829,K-9,PG-13,Action,35,medium,mid,6.0,False,False,high,False,False,47.0,1,False,True,3.2740557142857143,35.0,1,False,False,1.7940854545454545
830,Lean on Me,PG-13,Drama,35,medium,mid,7.4,True,False,high,False,False,54.0,2,False,False,7.454734319852942,52.0,0,False,False,0.0
831,Henry V,PG-13,Action,35,long,mid,7.5,True,False,mid,False,True,29.0,0,False,False,0.0,29.0,0,False,False,0.0
832,Friday the 13th Part VIII: Jason Takes Manhattan,R,Adventure,35,medium,mid,4.6,False,True,mid,False,True,35.0,0,False,False,0.0,20.0,0,False,False,0.0
833,Valmont,R,Drama,35,long,mid,7.0,False,False,low,False,False,57.0,1,True,False,2.8925995,29.0,0,False,False,0.0
834,Scandal,R,Drama,35,medium,low,6.5,False,False,mid,False,True,32.0,0,False,False,0.0,49.0,1,False,False,0.8
835,The Fabulous Baker Boys,R,Comedy,35,medium,mid,6.9,False,False,mid,False,False,29.0,0,False,False,0.0,40.0,8,True,False,1.2219032617971597
836,Shocker,R,Comedy,35,medium,mid,5.5,False,False,high,False,True,50.0,3,True,False,6.76051286984127,51.0,0,False,False,0.0
837,Next of Kin,R,Action,35,medium,low,5.8,False,False,mid,False,False,49.0,1,False,False,1.9069951764705881,37.0,3,False,True,12.726675627525251
838,Mystery Train,R,Comedy,35,medium,mid,7.6,True,False,low,False,True,36.0,2,True,False,14.217099696969697,23.0,0,False,False,0.0
839,Blaze,R,Biography,35,long,low,6.0,False,False,low,False,False,44.0,1,False,False,7.269818428571429,64.0,4,True,True,2.6863268151268116
