id,title,runtime,rating_cat,genre_cat,popularity_cat,budget_cat,budget_efficiency,budget_efficiency_cat,age,score,is_acclaimed,is_panned,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
2673,Two Weeks Notice,101.0,PG-13,Comedy,very-high,very-high,3.317391183333333,high,22,6.1,False,False,43.0,0,False,False,0.0,38.0,8,False,True,3.352708829478286
2674,Death to Smoochy,109.0,R,Comedy,mid,high,0.16765876,low,22,6.3,False,False,58.0,4,False,False,3.0161461863247867,51.0,20,True,True,3.275910281893965
2675,The Four Feathers,132.0,PG-13,Action,mid,high,0.8537898571428572,low,22,6.5,False,False,57.0,1,True,False,2.7383547333333333,23.0,2,False,False,1.7950594423076922
2676,Better Luck Tomorrow,101.0,R,Crime,low,low,10.0,high,22,7.0,False,False,31.0,0,False,False,0.0,29.0,0,False,False,0.0
2677,Big Fat Liar,88.0,PG,Adventure,mid,mid,3.5313342666666667,high,22,5.5,False,False,34.0,0,False,False,0.0,17.0,1,False,False,5.924626833333333
2678,About Schmidt,125.0,R,Comedy,very-high,high,3.5278185333333334,high,22,7.1,False,False,41.0,2,False,False,0.3455594866666666,65.0,14,True,True,1.3604175251474104
2679,The Master of Disguise,80.0,PG,Adventure,mid,mid,2.7131875625,mid,22,3.3,False,True,38.0,0,False,False,0.0,47.0,0,False,False,0.0
2680,Drumline,118.0,PG-13,Comedy,mid,mid,2.87942425,mid,22,5.9,False,False,36.0,0,False,False,0.0,22.0,0,False,False,0.0
2681,Halloween: Resurrection,94.0,R,Horror,mid,mid,2.8972965384615383,mid,22,4.0,False,True,53.0,1,False,False,10.0,44.0,5,False,True,4.664102836156864
2682,Windtalkers,134.0,R,Action,high,very-high,0.6750283913043478,low,22,6.1,False,False,56.0,4,False,False,3.642277087805556,38.0,16,True,True,2.8177724178064487
2683,Friday After Next,85.0,R,Comedy,mid,mid,3.3526835,high,22,5.8,False,False,37.0,0,False,False,0.0,33.0,2,False,False,6.750269428571428
2684,Eye See You,96.0,R,Crime,mid,high,0.1205887818181818,low,22,5.3,False,True,54.0,1,False,False,7.387419647058824,56.0,23,True,True,2.8798502743930894
2685,Undercover Brother,86.0,PG-13,Action,mid,mid,1.66417892,mid,22,5.9,False,False,32.0,1,False,False,3.8415311111111112,34.0,0,False,False,0.0
2686,Spy Kids 2: Island of Lost Dreams,100.0,PG,Action,high,high,3.1506146842105265,high,22,5.2,False,True,34.0,6,False,False,3.8276302205931496,14.0,1,False,False,4.226690857142857
2687,Tuck Everlasting,90.0,PG,Drama,mid,mid,1.289641,mid,22,6.6,False,False,42.0,1,False,False,5.924626833333333,21.0,0,False,False,0.0
2688,The Rookie,127.0,G,Drama,mid,mid,3.6678880454545455,high,22,6.9,False,False,46.0,0,False,False,0.0,48.0,8,False,True,1.48925824463356
