id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
4547,21 & Over,11,R,Comedy,93.0,73000.0,5.8,13000000.0,3.697359384615385,25.0,0,False,False,0.0,35.0,0,False,False,0.0
4548,Runner Runner,11,R,Crime,88.0,61000.0,5.6,30000000.0,2.089169833333333,27.0,1,False,False,2.1688088,38.0,15,True,True,2.671355338860166
4549,A Haunted House,11,R,Comedy,86.0,45000.0,5.0,2500000.0,10.0,38.0,0,False,False,0.0,26.0,3,False,False,1.7526958928746927
4550,How I Live Now,11,R,Action,101.0,29000.0,6.5,8000000.0,0.11572025,46.0,2,True,False,4.811309596666666,41.0,2,False,False,1.226031760606061
4551,Upstream Color,11,Unrated,Drama,96.0,32000.0,6.7,50000.0,10.0,41.0,1,False,False,10.0,41.0,0,False,False,0.0
4552,Parkland,11,PG-13,Drama,93.0,15000.0,6.4,10000000.0,0.1412181,48.0,0,False,False,0.0,19.0,5,False,True,5.373761175688311
4553,Paranoia,11,PG-13,Drama,106.0,36000.0,5.7,35000000.0,0.4873218571428571,40.0,6,False,False,4.468270934632664,32.0,0,False,False,0.0
4554,The Past,11,PG-13,Drama,130.0,46000.0,7.7,11000000.0,1.1521329090909092,41.0,1,True,False,10.0,26.0,0,False,False,0.0
4555,The Fifth Estate,11,R,Biography,128.0,40000.0,6.2,28000000.0,0.3235201428571428,58.0,7,True,True,2.9020026562152137,23.0,0,False,False,0.0
4556,Bad Words,11,R,Comedy,89.0,48000.0,6.6,10000000.0,0.7804337,44.0,0,False,False,0.0,37.0,5,True,True,2.354965536794872
4557,Man of Tai Chi,11,R,Action,105.0,36000.0,6.1,25000000.0,0.2185954,49.0,0,False,False,0.0,37.0,0,False,False,0.0
4558,The East,11,PG-13,Crime,116.0,49000.0,6.8,6500000.0,0.4448941538461538,32.0,1,False,False,3.1413925925925925,44.0,1,False,False,10.0
4559,The Lunchbox,11,PG,Drama,104.0,52000.0,7.8,1000000.0,10.0,34.0,0,False,False,0.0,38.0,0,False,False,0.0
4560,Getaway,11,PG-13,Action,90.0,23000.0,4.4,18000000.0,0.6559128888888889,42.0,2,False,True,1.435117365873016,31.0,14,True,False,2.578438699879535
4561,Guardians of the Galaxy,10,PG-13,Action,121.0,1100000.0,8.0,170000000.0,4.549118511764706,48.0,3,False,True,2.143964922222222,46.0,0,False,False,0.0
4562,Interstellar,10,PG-13,Adventure,169.0,1600000.0,8.6,165000000.0,4.252904278787879,44.0,8,True,False,4.674077809496959,43.0,17,True,True,1.976941045882012
4563,John Wick,10,R,Action,101.0,565000.0,7.4,20000000.0,4.30408555,46.0,0,False,False,0.0,35.0,21,True,False,2.6561563202896457
4564,Edge of Tomorrow,10,PG-13,Action,113.0,620000.0,7.9,175000000.0,2.117378605714286,49.0,6,True,False,3.8735603783125367,45.0,28,True,True,4.1818719037941054
4565,Gone Girl,10,R,Drama,149.0,893000.0,8.1,61000000.0,6.054596114754099,52.0,9,True,False,3.6407800179954615,50.0,16,True,True,2.6349687447647394
4566,Captain America: The Winter Soldier,10,PG-13,Action,136.0,764000.0,7.7,170000000.0,4.202479429411765,44.0,1,False,False,2.41905375925926,52.0,2,False,False,2.4300822540816327
4567,The Grand Budapest Hotel,10,R,Adventure,99.0,734000.0,8.1,25000000.0,6.91783,45.0,7,True,False,1.9606043866043084,42.0,8,True,True,1.7921026273471974
4568,Whiplash,10,R,Drama,106.0,749000.0,8.5,3300000.0,10.0,29.0,0,False,False,0.0,33.0,2,False,False,3.2323978923076924
4569,Kingsman: The Secret Service,10,R,Action,129.0,607000.0,7.7,81000000.0,5.115451185185186,43.0,3,True,False,2.4582176930555555,52.0,4,True,True,3.580915806060606
4570,Ex Machina,10,R,Drama,108.0,493000.0,7.7,15000000.0,2.457960933333333,44.0,0,False,False,0.0,27.0,0,False,False,0.0
4571,Divergent,10,PG-13,Action,139.0,435000.0,6.6,85000000.0,3.398656682352941,51.0,2,True,False,5.660617826599326,54.0,0,False,False,0.0
4572,Nightcrawler,10,R,Crime,117.0,486000.0,7.8,8500000.0,5.576352,55.0,0,False,False,0.0,26.0,12,True,False,2.9633451354908167
4573,The Hobbit: The Battle of the Five Armies,10,PG-13,Adventure,144.0,487000.0,7.4,175000000.0,5.4981878,53.0,10,True,False,4.726724890799952,23.0,3,True,False,2.252763648571429
4574,The Equalizer,10,R,Action,132.0,344000.0,7.2,55000000.0,3.496922509090909,49.0,8,True,False,1.601759046257108,34.0,28,True,False,2.005923802253541
4575,The Maze Runner,10,PG-13,Action,113.0,431000.0,6.8,34000000.0,10.0,34.0,0,False,False,0.0,75.0,1,False,False,0.046327
4576,Lucy,10,R,Action,89.0,460000.0,6.4,40000000.0,10.0,55.0,4,True,False,1.8756560884272535,60.0,8,True,False,2.016390582487695
4577,Chef,10,R,Adventure,114.0,202000.0,7.3,11000000.0,4.402549818181818,48.0,6,True,False,2.950485993073297,23.0,0,False,False,0.0
4578,What We Do in the Shadows,10,R,Comedy,86.0,164000.0,7.7,1600000.0,4.533225,40.0,0,False,False,0.0,30.0,0,False,False,0.0
4579,The Imitation Game,10,PG-13,Biography,114.0,707000.0,8.0,14000000.0,10.0,47.0,0,False,False,0.0,48.0,1,False,False,0.3235201428571428
4580,Fury,10,R,Action,134.0,442000.0,7.6,68000000.0,3.115039661764706,46.0,3,True,False,4.725659573809524,40.0,20,True,False,2.631467310958016
4581,X-Men: Days of Future Past,10,PG-13,Action,132.0,673000.0,7.9,175000000.0,4.2631182857142855,49.0,7,True,False,2.6046679365491654,38.0,8,True,False,2.8485524840609955
4582,Predestination,10,R,Action,97.0,262000.0,7.5,5100000.0,0.9691076470588236,38.0,1,False,False,2.5708594,51.0,17,True,True,3.161898275717787
4583,The Purge: Anarchy,10,R,Action,103.0,143000.0,6.4,9000000.0,10.0,45.0,1,False,False,10.0,74.0,0,False,False,0.0
4584,Birdman or (The Unexpected Virtue of Ignorance),10,R,Comedy,119.0,594000.0,7.7,18000000.0,5.734171888888889,51.0,3,True,False,6.14486641,44.0,12,True,True,3.3689817931266486
4585,It Follows,10,R,Horror,100.0,217000.0,6.8,1000000.0,10.0,40.0,0,False,False,0.0,49.0,0,False,False,0.0
4586,Blended,10,PG-13,Comedy,117.0,124000.0,6.5,40000000.0,3.19986525,48.0,6,False,True,3.729031817977524,63.0,24,True,True,2.815790330187657
4587,Hercules,10,PG-13,Action,98.0,149000.0,6.0,100000000.0,2.44819862,45.0,9,False,False,2.836704535957253,21.0,12,False,True,2.254375764225434
4588,The Judge,10,R,Crime,141.0,183000.0,7.4,50000000.0,1.68838776,45.0,5,False,False,2.3263550094615386,48.0,14,True,False,3.0000428478368897
4589,Annie,10,PG,Comedy,118.0,35000.0,5.3,65000000.0,2.1054385538461537,36.0,3,False,False,4.860293848809524,42.0,1,False,False,10.0
4590,Godzilla,10,PG-13,Action,123.0,394000.0,6.4,160000000.0,3.28110043125,39.0,1,False,False,10.0,49.0,3,True,False,2.407091403968254
