id,title,rating,genre,runtime,age,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
4345,Amour,PG-13,Drama,long,12,high,7.9,True,False,high,False,True,70.0,2,True,False,0.8012865944444445,23.0,0,False,False,0.0
4346,What to Expect When You're Expecting,PG-13,Comedy,medium,12,high,5.7,False,False,mid,False,False,48.0,3,True,False,5.23803376,43.0,8,True,True,4.423165747205552
4347,Trouble with the Curve,PG-13,Drama,medium,12,high,6.8,False,False,mid,False,False,47.0,0,False,False,0.0,82.0,20,True,True,3.248782666663079
4348,Here Comes the Boom,PG,Action,medium,12,high,6.4,False,False,mid,False,False,46.0,5,False,True,4.126742124430171,40.0,3,False,True,3.821445811821267
4349,The Collection,R,Horror,short,12,mid,6.1,False,False,mid,False,True,37.0,1,False,False,1.7057458333333333,82.0,1,False,False,1.7057458333333333
4350,ParaNorman,PG,Animation,medium,12,high,7.0,False,False,mid,False,False,38.0,0,False,False,0.0,47.0,1,False,False,1.3546796
4351,Contraband,R,Action,medium,12,very-high,6.4,False,False,high,False,False,46.0,0,False,False,0.0,35.0,11,True,True,2.281257105013999
4352,Arbitrage,R,Drama,medium,12,high,6.6,False,False,mid,False,False,33.0,0,False,False,0.0,16.0,21,True,True,2.3584253368792605
4353,The Man with the Iron Fists,R,Action,medium,12,high,5.4,False,True,mid,False,False,43.0,0,False,False,0.0,41.0,10,True,False,1.994922063187158
4354,Cosmopolis,R,Crime,medium,12,mid,5.1,False,True,low,False,False,69.0,9,True,False,1.1383031807234705,63.0,2,False,False,3.291750175986842
4355,The Campaign,R,Comedy,short,12,very-high,6.1,False,False,mid,False,False,55.0,7,False,False,4.62686674300727,48.0,13,True,True,2.1191912506839503
4356,Frankenweenie,PG,Animation,short,12,very-high,6.9,False,False,mid,False,False,54.0,14,True,False,3.7817301088208617,26.0,6,True,True,1.6370385400189786
4357,The Guilt Trip,PG-13,Comedy,medium,12,mid,5.7,False,False,mid,False,False,46.0,3,False,False,7.6242331027777785,45.0,4,False,False,2.015170550357143
4358,Stand Up Guys,R,Comedy,medium,12,high,6.5,False,False,low,False,False,49.0,0,False,False,0.0,41.0,18,True,True,2.132013034542997
4359,Deadfall,R,Crime,medium,12,mid,6.3,False,False,low,False,False,51.0,0,False,False,0.0,70.0,3,True,False,2.086716867442938
4360,The Words,PG-13,Drama,medium,12,high,7.0,False,False,mid,False,True,37.0,0,False,False,0.0,72.0,2,True,False,6.66448903587963
4361,Universal Soldier: Day of Reckoning,R,Action,medium,12,mid,5.0,False,True,low,False,False,46.0,0,False,False,0.0,44.0,17,False,True,3.4789740913799916
4362,Promised Land,R,Drama,medium,12,mid,6.6,False,False,low,False,False,60.0,10,True,True,2.4350828498366552,37.0,17,True,False,1.9203525642485288
4363,Beasts of the Southern Wild,PG-13,Adventure,medium,12,high,7.3,False,False,high,False,True,30.0,0,False,False,0.0,52.0,0,False,False,0.0
4364,Red Tails,PG-13,Action,long,12,mid,5.9,False,False,low,False,False,35.0,0,False,False,0.0,42.0,6,True,True,3.0526439988598213
