id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency_cat,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1503,A Low Down Dirty Shame,30,R,Action,108.0,6700.0,6.0,10000000.0,mid,36.0,1,False,False,4.343352333333334,36.0,1,False,False,4.343352333333334
1504,Swimming with Sharks,30,R,Comedy,93.0,22000.0,7.1,700000.0,low,28.0,0,False,False,0.0,35.0,0,False,False,0.0
1505,I Love Trouble,30,PG,Action,123.0,12000.0,5.3,45000000.0,low,53.0,1,False,False,2.069035,53.0,9,False,False,2.0832282818098142
1506,Blankman,30,PG-13,Action,92.0,9200.0,5.0,30000000.0,low,36.0,1,False,False,1.656101111111111,34.0,1,False,False,4.0227006
1507,Mrs. Parker and the Vicious Circle,30,R,Biography,125.0,4300.0,6.4,7000000.0,low,51.0,3,False,False,2.085784215659341,32.0,0,False,False,0.0
1508,Barcelona,30,PG-13,Comedy,101.0,5800.0,7.0,3200000.0,mid,42.0,1,True,False,10.0,35.0,0,False,False,0.0
1509,Pred dozhdot,30,Unrated,Drama,113.0,14000.0,8.0,1900000.0,low,35.0,0,False,False,0.0,33.0,0,False,False,0.0
1510,Burnt by the Sun,30,R,Drama,135.0,15000.0,7.9,2800000.0,low,49.0,0,False,False,0.0,49.0,0,False,False,0.0
1511,There Goes My Baby,30,R,Comedy,99.0,1000.0,6.4,10500000.0,low,53.0,1,False,False,2.5,31.0,1,False,False,0.1300506666666666
1512,Radioland Murders,30,PG,Comedy,108.0,3400.0,6.2,15000000.0,low,42.0,0,False,False,0.0,38.0,0,False,False,0.0
1513,Being Human,30,PG-13,Comedy,122.0,3800.0,5.4,40000000.0,low,48.0,1,False,False,0.3129363333333333,43.0,9,True,True,4.19035127183521
1514,Jimmy Hollywood,30,R,Crime,112.0,3100.0,5.3,30000000.0,low,52.0,9,True,True,3.382144843240638,51.0,3,True,False,2.176933009090909
1515,Squanto: A Warrior's Tale,30,PG,Adventure,102.0,1100.0,6.0,19200000.0,low,50.0,0,False,False,0.0,22.0,0,False,False,0.0
1516,My Summer Story,30,PG,Comedy,85.0,1500.0,5.6,15000000.0,low,55.0,5,True,True,4.518065226110556,59.0,1,False,True,7.882871066666667
1517,Getting Even with Dad,30,PG,Comedy,109.0,7600.0,4.8,30000000.0,low,44.0,3,False,False,2.2208585462962964,14.0,3,True,False,7.8551570196078435
1518,Rapa Nui,30,R,Action,107.0,4700.0,6.4,20000000.0,low,42.0,3,False,False,2.722836797619048,28.0,1,False,False,4.536695928571429
