director,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Tommy Lee Wallace,Tommy Lee Wallace,1949.0,0.0,Halloween III: Season of the Witch,director,writer
Jim Henson,Jim Henson,1936.0,1990.0,The Muppet Show,actor,writer
Juan Piquer Simón,Juan Piquer Simón,1935.0,2011.0,The Rift,writer,director
George Roy Hill,George Roy Hill,1921.0,2002.0,The Sting,director,actor
Barry Levinson,Barry Levinson,1942.0,0.0,Rain Man,producer,writer
Barry Levinson,Barry Levinson,1932.0,1987.0,The Internecine Project,producer,music_department
Peter Weir,Peter Weir,1944.0,0.0,Master and Commander: The Far Side of the World,director,writer
Jules Bass,Jules Bass,1935.0,2022.0,The Hobbit,producer,director
Sidney J. Furie,Sidney J. Furie,1933.0,0.0,Superman IV: The Quest for Peace,director,writer
Ken Finkleman,Ken Finkleman,1946.0,0.0,The Newsroom,writer,director
Richard Donner,Richard Donner,1930.0,2021.0,Superman,director,producer
Mark Rosman,Mark Rosman,1959.0,0.0,Time Toys,director,writer
Guy Hamilton,Guy Hamilton,1922.0,2016.0,Live and Let Die,director,assistant_director
Michael Winner,Michael Winner,1935.0,2013.0,Death Wish,director,writer
Michael Miller,Michael Miller,1931.0,1983.0,Three Days of the Condor,actor,producer
Michael Miller,Michael Miller,1974.0,0.0,Dr. T & the Women,camera_department,art_department
Robert Towne,Robert Towne,1934.0,0.0,Chinatown,writer,producer
Carl Reiner,Carl Reiner,1922.0,2020.0,The Dick Van Dyke Show,writer,producer
Damiano Damiani,Damiano Damiani,1922.0,2013.0,Mafia,writer,director
Costa-Gavras,Costa-Gavras,1933.0,0.0,Z,director,writer
David S. Ward,David S. Ward,1945.0,0.0,The Sting,writer,director
Robert Benton,Robert Benton,1932.0,0.0,Kramer vs. Kramer,writer,director
Charles Band,Charles Band,1951.0,0.0,Puppet Master,producer,director
Ian Sharp,Ian Sharp,1946.0,0.0,GoldenEye,director,assistant_director
Tony Richardson,Tony Richardson,1928.0,1991.0,Tom Jones,director,producer
Tony Richardson,Tony Richardson,1973.0,0.0,Deadpool,camera_department,
Norman Jewison,Norman Jewison,1926.0,2024.0,Jesus Christ Superstar,director,producer
Hal Ashby,Hal Ashby,1929.0,1988.0,In the Heat of the Night,director,editorial_department
Fred Schepisi,Fred Schepisi,1939.0,0.0,Empire Falls,director,producer
James Glickenhaus,James Glickenhaus,1950.0,0.0,The Soldier,writer,director
Richard Brooks,Richard Brooks,1912.0,1992.0,In Cold Blood,writer,director
Richard Brooks,Richard Brooks,1979.0,0.0,Say My Name,sound_department,
Richard Brooks,Richard Brooks,1962.0,0.0,Anticipation,actor,director
Richard Brooks,Richard Brooks,1940.0,0.0,Mr. Nobody,producer,music_department
Jerry Belson,Jerry Belson,1938.0,2006.0,The Tracey Ullman Show,writer,producer
James Fargo,James Fargo,1938.0,0.0,Every Which Way But Loose,director,assistant_director
Delbert Mann,Delbert Mann,1920.0,2007.0,Marty,director,producer
Thomas K. Avildsen,,,,,,
Don Siegel,Don Siegel,1912.0,1991.0,Dirty Harry,director,producer
Fred Zinnemann,Fred Zinnemann,1907.0,1997.0,A Man for All Seasons,director,assistant_director
James Burrows,James Burrows,1940.0,0.0,Cheers,director,producer
James Burrows,James Burrows,1991.0,0.0,This Is England,actor,archive_footage
Richard Marquand,Richard Marquand,1937.0,1987.0,Star Wars: Episode VI - Return of the Jedi,director,producer
Paul Brickman,Paul Brickman,1949.0,0.0,Risky Business,writer,director
Lawrence Kasdan,Lawrence Kasdan,1949.0,0.0,The Big Chill,writer,producer
Joe Alves,Joe Alves,1936.0,0.0,Close Encounters of the Third Kind,art_director,production_designer
Adrian Lyne,Adrian Lyne,1941.0,0.0,Jacob's Ladder,director,writer
Philip Kaufman,Philip Kaufman,1936.0,0.0,The Right Stuff,writer,director
David Cronenberg,David Cronenberg,1943.0,0.0,The Fly,actor,director
Noel Black,Noel Black,1937.0,2014.0,Skaterdater,director,writer
Martha Coolidge,Martha Coolidge,1946.0,0.0,Valley Girl,director,producer
James L. Brooks,James L. Brooks,1940.0,0.0,Broadcast News,writer,producer
