actor,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Rick Moranis,Rick Moranis,1953.0,0.0,Parenthood,actor,writer
Crispin Glover,Crispin Glover,1964.0,0.0,What Is It?,actor,director
Ally Sheedy,Ally Sheedy,1962.0,0.0,WarGames,actress,producer
Joey Cramer,Joey Cramer,1973.0,0.0,Flight of the Navigator,actor,writer
Kathleen Turner,Kathleen Turner,1954.0,0.0,Romancing the Stone,actress,producer
Kathleen Turner,Kathleen Turner,1995.0,0.0,Brave Little Army,animation_department,casting_department
Corey Haim,Corey Haim,1971.0,2010.0,The Lost Boys,actor,producer
Thom Mathews,Thom Mathews,1958.0,0.0,The Return of the Living Dead,actor,producer
Rodney Dangerfield,Rodney Dangerfield,1921.0,2004.0,Back to School,actor,writer
Dennis Hopper,Dennis Hopper,1936.0,2010.0,Easy Rider,actor,director
Gary Oldman,Gary Oldman,1958.0,0.0,The Dark Knight,actor,producer
Michael Rooker,Michael Rooker,1955.0,0.0,Guardians of the Galaxy,actor,producer
Jason Lively,Jason Lively,1968.0,0.0,National Lampoon's European Vacation,actor,director
Kate Capshaw,Kate Capshaw,1953.0,0.0,Indiana Jones and the Temple of Doom,actress,producer
Vincent Price,Vincent Price,1911.0,1993.0,The Abominable Dr. Phibes,actor,miscellaneous
Orson Welles,Orson Welles,1915.0,1985.0,Citizen Kane,actor,writer
Michael Moriarty,Michael Moriarty,1941.0,0.0,Courage Under Fire,actor,writer
Jeff Daniels,Jeff Daniels,1955.0,0.0,The Squid and the Whale,actor,producer
Jeff Daniels,Jeff Daniels,1981.0,0.0,Czech Tales 1,actor,editor
Daryl Hannah,Daryl Hannah,1960.0,0.0,Wall Street,actress,producer
