actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Adam Scott,low,very-profitable,low,mid-low,low
Donnie Yen,low,profitable,low,mid-high,low
Noah Schnapp,low,profitable,low,mid-high,low
Olivia Wilde,low,very-profitable,low,low,low
Reese Mishler,low,very-profitable,low,low,low
Aubrey Peeples,low,not-profitable,low,low,low
Kate Mara,low,not-profitable,low,mid-low,low
Rob Corddry,low,not-profitable,low,low,low
Priscilla C. Shirer,low,very-profitable,low,mid-high,low
Travis Fimmel,low,profitable,low,mid-high,low
Emilia Clarke,low,very-profitable,low,high,low
Auli'i Cravalho,low,very-profitable,low,high,low
Vera Farmiga,low,very-profitable,low,mid-high,high
Eva Green,low,profitable,low,mid-high,low
Mahershala Ali,low,very-profitable,low,high,low
Neel Sethi,low,very-profitable,low,high,low
Ellen DeGeneres,low,very-profitable,low,mid-high,low
Teresa Palmer,low,very-profitable,low,mid-low,low
Mike Epps,low,very-profitable,low,low,low
Suki Waterhouse,low,not-profitable,low,low,low
Hailee Steinfeld,low,profitable,low,mid-high,mid
Adam Driver,low,not-profitable,mid,high,mid
Lauren Cohan,low,very-profitable,low,mid-low,low
Louis C.K.,low,very-profitable,low,mid-high,low
Andy Samberg,low,not-profitable,mid,mid-high,low
Blake Jenner,low,not-profitable,low,mid-high,low
Neal McDonough,low,not-profitable,low,mid-high,low
John Gallagher Jr.,low,profitable,low,mid-low,low
Jack Huston,low,not-profitable,low,mid-low,low
Keegan-Michael Key,low,not-profitable,low,mid-low,low
Lewis MacDougall,low,not-profitable,low,high,low
James Allen McCune,low,very-profitable,low,low,low
James Arnold Taylor,low,not-profitable,low,mid-low,low
Elizabeth Reaser,low,very-profitable,low,mid-low,low
Natalie Dormer,low,profitable,low,low,low
Lucas Till,low,not-profitable,low,mid-low,low
Joe Alwyn,low,not-profitable,low,mid-low,low
Ruth Negga,low,not-profitable,low,mid-high,low
Stephan James,low,not-profitable,low,mid-high,low
Bill Skarsgård,low,very-profitable,low,mid-high,low
Tom Holland,low,very-profitable,mid,high,low
Daniel Kaluuya,low,very-profitable,low,high,low
Fionn Whitehead,low,very-profitable,low,high,low
Anthony Gonzalez,low,very-profitable,low,high,low
Ansel Elgort,low,very-profitable,low,high,low
Gal Gadot,low,very-profitable,low,high,low
Jacob Tremblay,low,very-profitable,high,mid-high,high
Sally Hawkins,low,very-profitable,low,mid-high,low
Emma Watson,low,very-profitable,high,mid-low,high
Frances McDormand,low,very-profitable,low,high,low
Margot Robbie,low,profitable,mid,mid-high,high
Jessica Rothe,low,very-profitable,high,mid-high,low
Scott Shepherd,low,not-profitable,low,mid-high,low
Brooklynn Prince,low,very-profitable,low,high,low
Vicky Krieps,low,not-profitable,low,high,low
Anthony LaPaglia,low,very-profitable,low,mid-high,low
Andy Serkis,low,profitable,low,high,low
Michael Peña,low,not-profitable,low,mid-low,low
Kumail Nanjiani,low,very-profitable,low,high,low
Katie Leung,low,very-profitable,low,mid-high,low
Matt Passmore,low,very-profitable,low,mid-low,low
Amandla Stenberg,mid,profitable,mid,mid-high,high
Dacre Montgomery,low,not-profitable,low,mid-low,low
Joel Edgerton,low,profitable,low,mid-low,low
T.J. Miller,low,very-profitable,low,low,low
Rosario Dawson,low,not-profitable,low,low,low
Regina Hall,low,very-profitable,high,mid-low,mid
Sam Elliott,low,profitable,low,mid-high,low
Josh Gad,low,very-profitable,high,mid-high,low
Matilda Anna Ingrid Lutz,low,profitable,low,low,low
Demetrius Shipp Jr.,low,not-profitable,low,mid-low,low
Demi Lovato,low,profitable,low,mid-low,low
Eugenio Derbez,low,very-profitable,low,mid-low,low
Jason Drucker,low,not-profitable,low,low,low
Emily Mortimer,low,profitable,low,mid-high,low
Brett Dalton,low,not-profitable,low,mid-low,low
Douglas Smith,low,very-profitable,low,low,low
Rami Malek,low,very-profitable,low,high,low
Constance Wu,low,very-profitable,low,mid-high,mid
John David Washington,low,very-profitable,high,high,low
Boyd Holbrook,low,not-profitable,low,low,low
Alden Ehrenreich,low,not-profitable,low,mid-high,low
Bella Thorne,low,very-profitable,low,mid-high,low
Lady Gaga,low,very-profitable,low,high,low
Elsie Fisher,low,very-profitable,low,high,low
Olivia Colman,low,very-profitable,low,high,low
Benicio Del Toro,low,profitable,low,mid-high,low
Y'lan Noel,low,very-profitable,low,low,low
Demián Bichir,low,very-profitable,low,low,low
Zain Al Rafeea,low,very-profitable,low,high,low
Nick Robinson,low,profitable,low,high,low
James Corden,low,very-profitable,low,mid-high,low
Justin Theroux,low,not-profitable,low,mid-low,low
Logan Marshall-Green,low,profitable,low,high,low
Jovan Adepo,low,not-profitable,low,mid-high,low
Claire Foy,low,very-profitable,high,mid-low,low
Hera Hilmar,low,not-profitable,low,mid-low,low
Sunny Suljic,low,not-profitable,low,high,low
Viola Davis,low,not-profitable,low,mid-high,low
Leslie Mann,low,very-profitable,low,mid-low,low
Angourie Rice,low,profitable,low,mid-high,low
LaKeith Stanfield,low,very-profitable,low,mid-high,low
Lucy Hale,low,very-profitable,low,low,low
Storm Reid,low,not-profitable,low,low,low
Amber Heard,low,not-profitable,low,low,low
Ayushmann Khurrana,low,very-profitable,low,high,low
Aldis Hodge,low,not-profitable,low,mid-high,low
Lin Shaye,low,very-profitable,low,mid-low,low
Lucas Hedges,low,not-profitable,low,mid-high,low
Alex Roe,low,very-profitable,low,mid-high,low
Odessa Young,low,not-profitable,low,mid-low,low
Colin Woodell,low,very-profitable,low,mid-low,low
Mackenzie Foy,low,not-profitable,low,mid-low,low
Cynthea Mercado,low,profitable,low,mid-low,low
Kyrie Irving,low,profitable,low,mid-low,low
Shay Mitchell,low,very-profitable,low,low,low
KiKi Layne,low,not-profitable,low,mid-high,low
Alek Skarlatos,low,not-profitable,low,low,low
Steve Coogan,low,profitable,low,mid-high,low
Trevor Jackson,low,not-profitable,low,low,low
J. Michael Finley,low,very-profitable,low,mid-high,low
Masako Nozawa,low,very-profitable,low,high,low
Myles Truitt,low,not-profitable,low,mid-low,low
Wendi McLendon-Covey,low,profitable,low,mid-low,low
Tiffany Haddish,low,not-profitable,low,low,low
Florence Pugh,low,very-profitable,low,mid-high,low
Taylor Russell,low,very-profitable,low,mid-high,low
Himesh Patel,low,very-profitable,low,mid-high,low
Josephine Langford,low,very-profitable,low,low,low
Roman Griffin Davis,low,very-profitable,low,high,low
Zachary Levi,low,profitable,low,mid-high,low
Dean-Charles Chapman,low,very-profitable,low,high,low
Rosa Salazar,low,profitable,low,mid-high,low
Lupita Nyong'o,low,very-profitable,low,mid-high,low
Samara Weaving,low,very-profitable,low,mid-high,low
David Harbour,low,not-profitable,low,low,low
Linda Hamilton,low,not-profitable,low,mid-low,low
Stephen Campbell Moore,low,very-profitable,low,high,low
Isabela Merced,low,profitable,low,mid-low,low
Donald Glover,low,very-profitable,low,mid-high,low
Kyle Chandler,low,profitable,low,mid-low,low
Elizabeth Banks,low,very-profitable,low,mid-low,low
Zack Gottsagen,low,very-profitable,low,high,low
Octavia Spencer,low,very-profitable,low,mid-low,low
Haley Lu Richardson,low,very-profitable,low,mid-high,low
Kaya Scodelario,low,very-profitable,low,mid-low,low
Oakes Fegley,low,not-profitable,low,mid-low,low
Patton Oswalt,low,very-profitable,low,mid-high,low
Linda Cardellini,low,very-profitable,low,low,low
Zoe Margaret Colletti,low,very-profitable,low,mid-low,low
Michael Ealy,low,very-profitable,low,mid-low,low
Kotaro Daigo,low,very-profitable,low,high,low
Jake Schur,low,not-profitable,low,mid-low,low
Dave Bautista,low,profitable,low,mid-low,low
Billy Barratt,low,not-profitable,low,mid-high,low
Chloe Bennet,low,profitable,low,mid-high,low
Rebel Wilson,low,not-profitable,low,mid-low,low
Gina Rodriguez,low,not-profitable,low,mid-low,low
Sofia Mali,low,not-profitable,low,mid-low,low
Tony Jaa,low,not-profitable,low,mid-low,low
Jing Wu,low,very-profitable,low,mid-low,low
Louis Ashbourne Serkis,low,not-profitable,low,mid-low,low
Marcel Ruiz,low,profitable,low,mid-low,low
Yara Shahidi,low,not-profitable,low,mid-low,low
Melanie Martinez,low,not-profitable,low,mid-high,low
Ashley Bratcher,low,profitable,low,mid-low,low
Terry Serpico,low,not-profitable,low,mid-high,low
Ace Young,low,not-profitable,low,mid-low,low
Elisabeth Moss,low,very-profitable,low,mid-high,low
Ben Schwartz,low,profitable,low,mid-high,low
Zhi-zhong Huang,low,very-profitable,low,mid-high,low
