actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Chris Cooper,low,not-profitable,mid,high,mid
Jon Cryer,low,not-profitable,low,mid-high,low
Michael E. Knight,low,not-profitable,low,mid-low,low
Lane Smith,low,not-profitable,low,mid-low,low
Kelly McGillis,low,not-profitable,mid,mid-high,high
Jim Belushi,mid,profitable,mid,mid-low,low
Tom Hulce,low,not-profitable,low,low,low
Michael Biehn,low,not-profitable,low,low,high
Deborah Winters,low,not-profitable,low,low,low
Bill Cosby,low,not-profitable,low,low,low
Sarah Miles,low,not-profitable,low,mid-low,low
Robert Townsend,low,very-profitable,high,mid-low,high
Sy Richardson,low,not-profitable,low,mid-low,low
Jodie Foster,high,profitable,high,mid-high,high
Julie Walters,low,not-profitable,low,mid-high,low
Patrick Dempsey,mid,not-profitable,mid,mid-low,low
Elaine Stritch,low,not-profitable,low,mid-high,low
Eric Stoltz,mid,not-profitable,low,mid-low,high
Eddie Deezen,low,not-profitable,low,low,low
Bruce Willis,high,profitable,mid,mid-high,high
Alec Baldwin,high,not-profitable,mid,mid-low,high
River Phoenix,mid,not-profitable,mid,mid-high,mid
Roddy Piper,low,profitable,low,mid-high,low
Winona Ryder,mid,not-profitable,mid,mid-high,high
Bob Hoskins,low,profitable,high,mid-low,high
Annabeth Gish,low,profitable,low,mid-low,low
Philippe Noiret,low,profitable,low,high,low
Catherine Hicks,low,very-profitable,low,mid-high,low
Leslie Nielsen,mid,profitable,mid,mid-low,high
Hitoshi Takagi,low,very-profitable,low,high,low
Melanie Griffith,mid,not-profitable,mid,mid-low,mid
Jean-Claude Van Damme,high,profitable,high,mid-low,high
Willem Dafoe,mid,not-profitable,low,mid-high,mid
Pat Hingle,low,very-profitable,low,high,low
Glenn Close,mid,not-profitable,mid,mid-low,high
Geena Davis,mid,not-profitable,low,mid-low,high
Sonny Bono,low,profitable,low,mid-high,low
Jeremy Irons,mid,not-profitable,low,mid-high,low
Daniel Day-Lewis,high,not-profitable,mid,mid-high,high
Shawnee Smith,low,not-profitable,low,mid-high,low
Joey Lawrence,low,profitable,low,mid-high,low
John Neville,low,not-profitable,low,mid-high,low
Cassandra Peterson,low,not-profitable,low,mid-high,low
Christine Ebersole,low,not-profitable,low,low,low
Steven Seagal,high,profitable,mid,mid-low,mid
Keenen Ivory Wayans,mid,profitable,mid,mid-low,mid
Lance Henriksen,low,not-profitable,low,mid-low,high
Terry Kiser,low,very-profitable,low,low,low
