director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Joe Chappelle,low,profitable,low,low,low
Melanie Mayron,low,not-profitable,low,mid-low,low
Forest Whitaker,mid,profitable,mid,mid-low,mid
Todd Solondz,low,profitable,high,high,low
Carl Franklin,mid,not-profitable,low,mid-high,low
Jocelyn Moorhouse,low,profitable,mid,mid-low,low
Andrew Sipes,low,not-profitable,low,low,low
Gary Fleder,mid,not-profitable,low,mid-high,mid
Michael Moore,low,not-profitable,low,mid-low,low
Christian Duguay,low,not-profitable,low,mid-low,mid
Oliver Parker,mid,not-profitable,mid,mid-high,low
Philip Haas,low,not-profitable,low,mid-high,low
J.F. Lawton,low,not-profitable,low,mid-low,low
Gregory Nava,low,not-profitable,low,mid-high,mid
Edward Burns,low,very-profitable,high,mid-low,mid
Christopher Monger,low,not-profitable,low,mid-high,low
Paul Auster,low,not-profitable,low,mid-high,low
Daisy von Scherler Mayer,low,profitable,low,mid-high,low
Carlo Carlei,low,not-profitable,low,mid-high,low
Damian Harris,low,not-profitable,low,low,low
Jafar Panahi,low,very-profitable,low,high,low
Desmond Nakano,low,not-profitable,low,low,low
Peter Hall,low,not-profitable,low,low,low
Aaron Norris,low,not-profitable,low,low,low
Maria Maggenti,low,very-profitable,low,mid-high,low
Nick Gomez,low,not-profitable,low,mid-low,high
Preston A. Whitmore II,low,not-profitable,low,low,low
Baz Luhrmann,mid,very-profitable,high,mid-high,mid
Cameron Crowe,mid,profitable,mid,mid-high,high
Gregory Hoblit,mid,not-profitable,mid,mid-high,high
Wes Anderson,mid,profitable,mid,high,mid
Lana Wachowski,mid,profitable,mid,mid-high,high
Billy Bob Thornton,low,very-profitable,high,mid-high,high
Tom Hanks,low,not-profitable,low,mid-high,mid
Bobby Farrelly,high,profitable,high,mid-low,mid
Jonathan Frakes,mid,not-profitable,mid,mid-low,high
Doug Liman,mid,very-profitable,high,mid-high,mid
Paris Barclay,low,very-profitable,low,mid-high,low
Paul Thomas Anderson,mid,not-profitable,mid,high,mid
Campbell Scott,low,profitable,low,mid-high,low
Stuart Baird,mid,not-profitable,low,mid-high,low
Jason Bloom,low,not-profitable,low,low,low
Douglas McGrath,mid,not-profitable,mid,mid-high,low
Mira Nair,low,not-profitable,low,mid-low,low
Mike Leigh,mid,not-profitable,mid,high,low
David Twohy,mid,not-profitable,low,mid-high,low
David Hogan,low,not-profitable,low,low,high
Steve Buscemi,low,not-profitable,low,mid-high,mid
Matthew Bright,low,not-profitable,low,mid-low,high
Lee Tamahori,mid,not-profitable,low,mid-low,high
Scott Hicks,mid,profitable,mid,mid-high,mid
Bronwen Hughes,low,not-profitable,low,mid-low,mid
Gilbert Adler,low,not-profitable,low,low,low
Rick Friedberg,low,not-profitable,low,low,low
Jerry Zaks,low,not-profitable,low,mid-high,low
Arlene Sanford,low,not-profitable,low,mid-low,low
Tim Pope,low,not-profitable,low,low,low
Julian Schnabel,low,not-profitable,low,mid-high,low
Jean-Claude Van Damme,low,not-profitable,low,mid-low,low
Director,low,profitable,low,low,low
Lisa Krueger,low,not-profitable,low,mid-low,high
Michael Winterbottom,mid,not-profitable,low,mid-high,mid
Larry Bishop,low,not-profitable,low,low,low
John Gray,low,not-profitable,low,low,low
John Payson,low,not-profitable,low,mid-low,low
Eric Schaeffer,low,not-profitable,low,low,low
Alexander Payne,mid,profitable,high,mid-high,mid
Martin Lawrence,low,very-profitable,low,mid-low,low
Dan Ireland,low,not-profitable,low,mid-high,low
Matt Reeves,mid,profitable,mid,mid-high,high
Farhad Mann,low,not-profitable,low,low,low
Reb Braddock,low,not-profitable,low,mid-low,low
Fraser C. Heston,low,not-profitable,low,mid-low,low
Allison Anders,low,not-profitable,low,mid-high,low
Bill Couturié,low,not-profitable,low,low,low
Luc Besson,mid,profitable,high,mid-high,mid
Jay Roach,high,profitable,high,mid-high,mid
Simon West,mid,profitable,mid,mid-low,mid
Roberto Benigni,low,very-profitable,low,high,low
Raja Gosnell,high,profitable,mid,low,mid
Andrew Niccol,mid,not-profitable,mid,mid-high,high
Jim Gillespie,low,profitable,high,mid-low,low
Jean-Pierre Jeunet,mid,very-profitable,high,high,high
Sam Weisman,mid,not-profitable,mid,mid-low,low
Andy Tennant,mid,profitable,mid,mid-low,mid
Brian Robbins,mid,not-profitable,mid,mid-low,high
Peter Cattaneo,low,very-profitable,high,mid-high,high
Mark A.Z. Dippé,low,profitable,low,low,low
James Mangold,high,profitable,mid,mid-high,mid
Harmony Korine,mid,profitable,high,mid-low,high
