primaryName,birthYear,deathYear,knownForTitle,primaryProfession,secondaryProfession
Benedict Cumberbatch,1976.0,0.0,The Imitation Game,actor,producer
Benh Zeitlin,1982.0,0.0,Beasts of the Southern Wild,director,composer
Benicio Del Toro,1967.0,0.0,Sicario,actor,producer
Benjamin Bratt,1963.0,0.0,Miss Congeniality,actor,producer
Benjamin Walker,1982.0,0.0,Abraham Lincoln: Vampire Hunter,actor,soundtrack
Bennett Miller,1966.0,0.0,Foxcatcher,director,producer
Benny Boom,1971.0,0.0,All Eyez on Me,director,none
Benny Safdie,1986.0,0.0,Good Time,writer,actor
Bent Hamer,1956.0,0.0,Kitchen Stories,director,writer
Bernard Rose,1960.0,0.0,Candyman,director,writer
Bernardo Bertolucci,1941.0,2018.0,The Conformist,writer,director
Bertil Guve,1970.0,0.0,Fanny and Alexander,actor,archive_footage
Bethany Ashton Wolf,1968.0,0.0,Forever My Girl,director,writer
Betsy Palmer,1926.0,2015.0,Friday the 13th,actor,miscellaneous
Bette Midler,1945.0,0.0,Beaches,actor,producer
Betty Thomas,1947.0,0.0,Howard Stern,actor,director
Beyoncé,1981.0,0.0,Dreamgirls,music_artist,actor
Bibo Bergeron,1965.0,0.0,The Road to El Dorado,art_department,animation_department
Big Boi,1975.0,0.0,Idlewild,actor,composer
Bill Condon,1955.0,0.0,Dreamgirls,director,writer
Bill Cosby,1937.0,0.0,The Cosby Show,actor,writer
Bill Couturié,,,,,
Bill Duke,1943.0,0.0,Predator,actor,director
Bill Farmer,1952.0,0.0,A Goofy Movie,actor,miscellaneous
Bill Fishman,,,,,
Bill Forsyth,1946.0,0.0,Local Hero,director,writer
Bill Hader,1978.0,0.0,The Skeleton Twins,actor,writer
Bill Holderman,,,,,
Bill Kroyer,,,,,
Bill Murray,1950.0,0.0,Lost in Translation,actor,writer
Bill Nighy,1949.0,0.0,Love Actually,actor,producer
Bill Paxton,1955.0,2017.0,Aliens,actor,producer
Bill Pohlad,,,,,
Bill Pullman,1953.0,0.0,Independence Day,actor,director
Bill Skarsgård,1990.0,0.0,It,actor,producer
Bille August,1948.0,0.0,The House of the Spirits,director,writer
Bille Woodruff,,,,,
Billy Barratt,2007.0,0.0,Responsible Child,actor,none
Billy Bob Thornton,1955.0,0.0,Sling Blade,actor,writer
Billy Campbell,1959.0,0.0,The Rocketeer,actor,camera_department
Billy Crudup,1968.0,0.0,Almost Famous,actor,producer
Billy Crystal,1948.0,0.0,Forget Paris,actor,writer
Billy Ray,1926.0,2020.0,Adam Had Four Sons,actor,none
Billy Weber,,,,,
Billy Wilder,1906.0,2002.0,The Apartment,writer,director
Billy Zane,1966.0,0.0,Titanic,actor,producer
Björk,1965.0,0.0,Dancer in the Dark,music_artist,composer
Blair Hayes,,,,,
Blake Edwards,1922.0,2010.0,The Pink Panther Strikes Again,writer,producer
Blake Jenner,1992.0,0.0,The Edge of Seventeen,actor,producer
Blake Lively,1987.0,0.0,Gossip Girl,actor,producer
Blanchard Ryan,1967.0,0.0,Open Water,actor,none
Blayne Weaver,1976.0,0.0,6 Month Rule,actor,writer
Blythe Danner,1943.0,0.0,Meet the Parents,actor,soundtrack
Bo Burnham,1990.0,0.0,Bo Burnham: Inside,actor,writer
Bo Derek,1956.0,0.0,Bolero,actor,producer
